enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,kfold
2410,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,101,0.0,0
11449,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Early Stage Startup,1,164,1.0,0
11504,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,48,0.0,0
14186,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,74,0.0,0
15175,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,37,0.0,0
14955,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,Humanities,3,50-99,Pvt Ltd,1,164,0.0,0
28467,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,80,0.0,0
9108,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,12,0.0,0
8452,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11,50-99,Funded Startup,1,113,0.0,0
30513,city_61,0.913,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,1,71,0.0,0
8793,city_73,0.754,,No relevent experience,Part time course,Graduate,STEM,12,1000-4999,Public Sector,>4,114,0.0,0
8215,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,3,20,0.0,0
12166,city_157,0.769,,No relevent experience,no_enrollment,High School,,1,,,,29,0.0,0
4733,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,4,96,0.0,0
901,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,4,11,0.0,0
2760,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,500-999,Pvt Ltd,1,9,1.0,0
2031,city_104,0.924,Male,No relevent experience,Full time course,High School,,5,,,1,72,0.0,0
8323,city_67,0.855,,Has relevent experience,no_enrollment,Masters,STEM,20,100-500,Pvt Ltd,2,56,0.0,0
9973,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,0.0,0
31507,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Public Sector,2,32,0.0,0
12530,city_136,0.897,,No relevent experience,Full time course,Graduate,STEM,5,,,never,47,0.0,0
25151,city_173,0.878,Male,No relevent experience,Full time course,Graduate,STEM,3,,,3,112,1.0,0
20895,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,3,,,never,17,0.0,0
24632,city_160,0.92,,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,Public Sector,>4,19,0.0,0
6407,city_114,0.926,,Has relevent experience,Full time course,High School,,7,,,2,82,0.0,0
2350,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,13,10/49,Pvt Ltd,2,145,1.0,0
27397,city_57,0.866,Male,No relevent experience,Full time course,Graduate,STEM,8,,,never,111,0.0,0
2726,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1,119,0.0,0
24496,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,>4,163,1.0,0
31159,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,10,1.0,0
17951,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,never,334,0.0,0
28781,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,70,0.0,0
28207,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,32,0.0,0
18558,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,1,38,1.0,0
19070,city_16,0.91,Female,No relevent experience,,High School,,3,,,never,122,0.0,0
23086,city_160,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,19,5000-9999,Public Sector,3,250,0.0,0
